,ENGLISH,TAMIL
1050,flight,விமான
1051,float,மிதவை
1052,floor,தரை
1053,flow,ஓட்டம்
1054,flower,பூ
1055,fly,ஈ
1056,focus,கவனம்
1057,folk,நாட்டுப்புற
1058,follow,பின்பற்ற
1059,following,பின்வரும்
1060,food,உணவு
1061,foot,கால்
1062,football,கால்பந்து
1063,for,ஐந்து
1064,foreign,வெளிநாட்டு
1065,forest,காட்டில்
1066,forever,என்றென்றும்
1067,forget,மறக்க
1068,form,வடிவம்
1069,formal,முறையான
1070,formation,உருவாக்கம்
1071,former,முன்னாள்
1072,formula,சூத்திரம்
1073,forth,முன்னும் பின்னுமாக
1074,forward,முன்னோக்கி
1075,foundation,அடித்தளம்
1076,founder,நிறுவனர்
1077,four,நான்கு
1078,fourth,நான்காவது
1079,frame,சட்ட
1080,framework,கட்டமைப்பை
1081,free,இலவச
1082,freedom,சுதந்திரம்
1083,freeze,உறைய
1084,French,பிரஞ்சு
1085,frequency,அதிர்வெண்
1086,frequent,அடிக்கடி
1087,frequently,அடிக்கடி
1088,fresh,புதிய
1089,friend,நண்பர்
1090,friendly,நட்பாக
1091,friendship,நட்பு
1092,from,இருந்து
1093,front,முன்
1094,fruit,பழம்
1095,frustration,ஏமாற்றம்
1096,fuel,எரிபொருள்
1097,full,முழு
1098,fully,முழுமையாக
1099,fun,வேடிக்கை
1100,function,செயல்பாடு
1101,fund,நிதி
1102,fundamental,அடிப்படை
1103,funding,நிதி
1104,funeral,இறுதி சடங்கு
1105,funny,வேடிக்கையான
1106,furniture,மரச்சாமான்களை
1107,furthermore,மேலும்
1108,future,எதிர்கால
1109,gain,ஆதாயம்
1110,galaxy,விண்மீன்
1111,gallery,கேலரி
1112,game,விளையாட்டு
1113,gang,கும்பல்
1114,gap,இடைவெளி
1115,garage,கேரேஜ்
1116,garden,தோட்டத்தில்
1117,garlic,பூண்டு
1118,gas,எரிவாயு
1119,gate,வாயில்
1120,gather,சேகரிக்க
1121,gay,கே
1122,gaze,பார்வையின்
1123,gear,கியர்
1124,gender,பாலினம்
1125,gene,மரபணு
1126,general,பொது
1127,generally,பொதுவாக
1128,generate,உருவாக்க
1129,generation,தலைமுறை
1130,genetic,மரபணு
1131,gentleman,நற்பண்புகள் கொண்டவர்
1132,gently,மெதுவாக
1133,German,ஜெர்மன்
1134,gesture,சைகை
1135,get,பெறு
1136,ghost,பேய்
1137,giant,மாபெரும்
1138,gift,பரிசு
1139,gifted,திறமையுள்ளவர்கள்
1140,girl,பெண்
1141,girlfriend,காதலி
1142,give,கொடுக்க
1143,glad,மகிழ்ச்சி
1144,glance,பார்வையில்
1145,glass,கண்ணாடி
1146,global,உலக
1147,glove,கையுறை
1148,goal,இலக்கு
1149,God,இறைவன்
1150,gold,தங்கம்
1151,golden,தங்க
1152,golf,கோல்ப்
1153,good,நல்ல
1154,government,அரசாங்கம்
1155,governor,கவர்னர்
1156,grab,கிராப்
1157,grade,தர
1158,gradually,படிப்படியாக
1159,graduate,பட்டதாரி
1160,grain,தானிய
1161,grand,மாபெரும்
1162,grandfather,தாத்தா
1163,grandmother,பாட்டி
1164,grant,கிராண்ட்
1165,grass,புல்
1166,grave,கல்லறை
1167,gray,சாம்பல்
1168,great,நன்று
1169,greatest,பெரிய
1170,green,பச்சை
1171,grocery,மளிகை
1172,ground,தரையில்
1173,group,குழு
1174,grow,வளர
1175,growing,வளர்ந்து வரும்
1176,growth,வளர்ச்சி
1177,guarantee,உத்தரவாதம்
1178,guard,பாதுகாப்பு
1179,guess,யூகிக்க
1180,guest,விருந்தினர்
1181,guide,வழிகாட்டி
1182,guideline,வழிகாட்டு
1183,guilty,குற்ற உணர்வு
1184,gun,துப்பாக்கி
1185,guy,பையன்
1186,habit,பழக்கம்
1187,habitat,வாழ்விடம்
1188,hair,முடி
1189,half,அரை
1190,hall,மண்டபம்
1191,hand,கை
1192,handful,சில
1193,handle,கைப்பிடி
1194,hang,செயலிழப்பு
1195,happen,நடக்கும்
1196,happy,சந்தோஷமாக
1197,hard,கடின
1198,hardly,அரிதாகத்தான்
1199,hat,தொப்பி
1200,hate,வெறுப்பு
1201,have,வேண்டும்
1202,he,அவர்
1203,head,தலை
1204,headline,தலைப்பு
1205,headquarters,தலைமையகத்தில்
1206,health,சுகாதார
1207,healthy,ஆரோக்கியமான
1208,hear,கேள்
1209,hearing,விசாரணை
1210,heart,இதயம்
1211,heat,வெப்பம்
1212,heaven,சொர்க்கம்
1213,heavily,பெரிதும்
1214,heavy,கனரக
1215,heel,ஹீல்
1216,height,உயரம்
1217,helicopter,ஹெலிகாப்டர்
1218,hell,நரகம்
1219,hello,வணக்கம்
1220,help,உதவி
1221,her,அவளை
1222,here,இங்கே
1223,heritage,பாரம்பரியத்தை
1224,hero,ஹீரோ
1225,herself,தன்னை
1226,hey,ஏய்
1227,hi,வணக்கம்
1228,hide,மறை
1229,high,உயர்
1230,highlight,முன்னிலைப்படுத்த
1231,highly,மிகவும்
1232,highway,நெடுஞ்சாலை
1233,hill,மலை
1234,him,அவரை
1235,himself,தன்னை
1236,hip,இடுப்பு
1237,hire,வாடகை
1238,his,அவரது
1239,historian,வரலாற்றாசிரியர்
1240,historic,வரலாற்று
1241,historical,வரலாற்று
1242,history,வரலாறு
1243,hit,வெற்றி
1244,hold,பிடி
1245,hole,துளை
1246,holiday,விடுமுறை
1247,holy,பரிசுத்த
1248,home,வீடு
1249,homeless,வீடற்ற
1250,honest,நேர்மையான
1251,honey,தேன்
1252,honor,மரியாதை
1253,hope,நம்பிக்கை
1254,horizon,அடிவானத்தில்
1255,horror,திகில்
1256,horse,குதிரை
1257,hospital,மருத்துவமனை
1258,host,தொகுப்பாளர்
1259,hot,சூடான
1260,hotel,விடுதி
1261,hour,மணி
1262,house,வீட்டில்
1263,housing,வீடுகள்
1264,how,எப்படி
1265,however,எனினும்
1266,huge,பெரிய
1267,human,மனிதன்
1268,humor,நகைச்சுவை
1269,hundred,நூறு
1270,hungry,பசி
1271,hunter,வேட்டையாடி
1272,hunting,வேட்டையாடுதல்
1273,hurt,காயம்
1274,husband,கணவர்
1275,hypothesis,கருதுகோள்
1276,I,நான்
1277,ice,பனி
1278,idea,யோசனை
1279,ideal,ஏற்றதாக
1280,identification,அடையாள
1281,identify,அடையாளம்
1282,identity,அடையாளம்
1283,ie,அதாவது
1284,if,என்றால்
1285,ignore,புறக்கணிக்க
1286,ill,தவறான
1287,illegal,சட்டவிரோத
1288,illness,உடல் நலமின்மை
1289,illustrate,விளக்குவதற்கு
1290,image,படத்தை
1291,imagination,கற்பனை
1292,imagine,கற்பனை
1293,immediately,உடனடியாக
1294,immigrant,குடியேற்ற
1295,immigration,குடியேற்றம்
1296,impact,தாக்கம்
1297,implement,செயல்படுத்த
1298,implication,இது சம்பந்தமாக
1299,imply,வெளிப்படுத்தாது
1300,importance,முக்கியத்துவம்
1301,important,முக்கியமான
1302,impose,திணிக்க
1303,impossible,சாத்தியமற்றது
1304,impress,ஊழியரும்
1305,impressive,ஈர்க்கக்கூடிய
1306,improve,மேம்படுத்த
1307,improvement,முன்னேற்றம்
1308,in,இல்
1309,incentive,ஊக்க
1310,incident,சம்பவம்
1311,include,சேர்க்கிறது
1312,including,உட்பட
1313,income,வருமானம்
1314,incorporate,பதிவுசெய்தல்
1315,increase,அதிகரி
1316,increased,அதிகரித்த
1317,increasing,அதிகரித்து
1318,increasingly,பெருகிய
1319,incredible,நம்பமுடியாத
1320,indeed,உண்மையில்
1321,independence,சுதந்திரம்
1322,independent,சுயாதீன
1323,index,குறியீட்டு
1324,Indian,இந்தியன்
1325,indicate,குறிப்பிடுகின்றன
1326,indication,அறிகுறி
1327,individual,தனிப்பட்ட
1328,industrial,தொழில்துறை
1329,industry,தொழில்
1330,infant,குழந்தை
1331,infection,தொற்று
1332,inflation,வீக்கம்
1333,influence,செல்வாக்கு
1334,inform,தெரிவிக்க
1335,information,தகவல்
1336,ingredient,மூலப்பொருள்
1337,initial,ஆரம்ப
1338,initially,ஆரம்பத்தில்
1339,initiative,முயற்சி
1340,injury,காயம்
1341,inner,உள்
1342,innocent,அப்பாவி
1343,inquiry,விசாரணை
1344,inside,உள்ளே
1345,insight,நுண்ணறிவால்
1346,insist,வலியுறுத்துகின்றனர்
1347,inspire,இன்ஸ்பயர்
1348,install,நிறுவு
1349,instance,உதாரணமாக
1350,instead,பதிலாக
1351,institution,நிறுவனம்
1352,institutional,நிறுவன
1353,instruction,அறிவுறுத்தல்
1354,instructor,பயிற்றுவிப்பாளராக
1355,instrument,கருவி
1356,insurance,காப்பீடு
1357,intellectual,அறிவுசார்
1358,intelligence,உளவுத்துறை
1359,intend,திட்டமிட்டுள்ளீர்கள்
1360,intense,தீவிர
1361,intensity,தீவிரம்
1362,intention,எண்ணம்
1363,interest,ஆர்வம்
1364,interested,ஆர்வம்
1365,interesting,சுவாரஸ்யமான
1366,internal,உள்
1367,international,சர்வதேச
1368,Internet,இணையதளம்
1369,interpret,விளக்குவது
1370,interpretation,விளக்கம்
1371,intervention,தலையீடு
1372,interview,பேட்டியில்
1373,into,ஒரு
1374,introduce,அறிமுகப்படுத்த
1375,introduction,அறிமுகம்
1376,invasion,படையெடுப்பு
1377,invest,Invest
1378,investigate,விசாரணை
1379,investigation,விசாரணை
1380,investigator,புலன்விசாரணை
1381,investment,முதலீட்டு
1382,investor,முதலீட்டாளர்
1383,invite,அழைக்க
1384,involve,ஈடுபடு
1385,involved,ஈடுபாடு
1386,involvement,ஈடுபாடு
1387,Iraqi,ஈராக்
1388,iron,இரும்பு
1389,Islamic,இஸ்லாமிய
1390,island,தீவின்
1391,Israeli,இஸ்ரேலிய
1392,issue,பிரச்சினை
1393,it,அது
1394,Italian,இத்தாலிய
1395,item,உருப்படியை
1396,its,அதன்
1397,itself,தன்னை
1398,jacket,ஜாக்கெட்
1399,jail,சிறை
1400,Japanese,ஜப்பனீஸ்
1401,jet,ஜெட்
1402,Jew,யூதர்
1403,Jewish,யூத
1404,job,வேலை
1405,join,சேர
1406,joint,கூட்டு
1407,joke,ஜோக்
1408,journal,பத்திரிகை
1409,journalist,பத்திரிகையாளர்
1410,journey,பயணம்
1411,joy,மகிழ்ச்சி
1412,judge,நீதிபதி
1413,judgment,தீர்ப்பு
1414,juice,சாறு
1415,jump,ஜம்ப்
1416,junior,இளைய
1417,jury,ஜூரி
1418,just,வெறும்
1419,justice,நீதி
1420,justify,நியாயப்படுத்துவதற்கு
1421,keep,வை
1422,key,முக்கிய
1423,kick,கிக்
1424,kid,குழந்தை
1425,kill,கொலை
1426,killer,கொலையாளி
1427,killing,கொலை
1428,kind,கருணை
1429,king,ராஜா
1430,kiss,முத்தம்
1431,kitchen,சமையலறை
1432,knee,முழங்கால்
1433,knife,கத்தி
1434,knock,தட்டுங்கள்
1435,know,தெரியும்
1436,lab,ஆய்வகம்
1437,label,லேபிள்
1438,labor,தொழிலாளர்
1439,lack,பற்றாக்குறை
1440,lady,பெண்
1441,lake,ஏரி
1442,land,நில
1443,landscape,இயற்கை
1444,language,மொழி
1445,lap,மடியில்
1446,large,பெரிய
1447,largely,பெரும்பாலும்
1448,last,கடந்த
1449,late,தாமதமாக
1450,later,பின்னர்
1451,Latin,லத்தீன்
1452,latter,பிந்தைய
1453,laugh,சிரிக்க
1454,launch,வெளியீட்டு
1455,law,சட்டம்
1456,lawn,புல்வெளி
1457,lawyer,வழக்கறிஞர்
1458,lay,எளிமையான
1459,layer,அடுக்கு
1460,lead,வழி நடத்து
1461,leader,தலைவர்
1462,leadership,தலைமைத்துவம்
1463,leading,முன்னணி
1464,leaf,இலை
1465,league,லீக்
1466,lean,ஒல்லியான
1467,learn,அறிய
1468,learning,கற்றல்
1469,least,குறைந்தது
1470,leather,தோல்
1471,leave,விடுப்பு
1472,left,இடது
1473,leg,கால்
1474,legacy,மரபு
1475,legal,சட்ட
1476,legend,புராண
1477,legislation,சட்டத்தை
1478,legitimate,முறையான
1479,lemon,எலுமிச்சை
1480,length,நீளம்
1481,less,குறைவான
1482,lesson,பாடம்
1483,let,நாம்
1484,letter,கடிதம்
1485,level,நிலை
1486,liberal,தாராளவாத
1487,library,நூலகம்
1488,license,உரிமம்
1489,lie,பொய்
1490,life,வாழ்க்கை
1491,lifestyle,வாழ்க்கை
1492,lifetime,வாழ்நாள்
1493,lift,லிப்ட்
1494,light,ஒளி
1495,like,போன்ற
1496,likely,வாய்ப்பு
1497,limit,அளவு
1498,limitation,வரையறை
1499,limited,வரையறுக்கப்பட்ட
1500,line,வரி
1501,link,இணைப்பை
1502,lip,லிப்
1503,list,பட்டியலில்
1504,listen,கேட்க
1505,literally,உண்மையாகவே
1506,literary,இலக்கிய
1507,literature,இலக்கியம்
1508,little,சிறிய
1509,live,நேரடி
1510,living,வாழ்க்கை
1511,load,சுமை
1512,loan,கடன்
1513,local,உள்ளூர்
1514,locate,கண்டறிவது
1515,location,இடம்
1516,lock,பூட்டு
1517,long,நீண்ட
1518,long-term,நீண்ட கால
1519,look,தோற்றம்
1520,lose,இழக்க
1521,loss,இழப்பு
1522,lost,இழந்தது
1523,lot,நிறைய
1524,lots,நிறைய
1525,loud,உரத்த
1526,love,காதல்
1527,lovely,அழகான
1528,low,குறைந்த
1529,lower,குறைந்த
1530,luck,அதிர்ஷ்டம்
1531,lucky,அதிர்ஷ்டம்
1532,lunch,மதிய
1533,lung,நுரையீரல்
1534,machine,இயந்திரம்
1535,mad,பைத்தியம்
1536,magazine,பத்திரிகை
1537,mail,அஞ்சல்
1538,main,முக்கிய
1539,mainly,முக்கியமாக
1540,maintain,பராமரிக்க
1541,maintenance,பராமரிப்பு
1542,major,முக்கிய
1543,majority,பெரும்பான்மை
1544,make,செய்ய
1545,maker,தயாரிப்பாளர்
1546,makeup,ஒப்பனை
1547,male,ஆண்
1548,mall,மால்
1549,man,மனிதன்
1550,management,மேலாண்மை
1551,manager,மேலாளர்
1552,manner,முறையில்
1553,manufacturer,உற்பத்தியாளர்
1554,manufacturing,உற்பத்தி
1555,many,பல
1556,map,கண்டறிவதில்
1557,margin,விளிம்பு
1558,mark,குறி
1559,market,சந்தை
1560,marketing,சந்தைப்படுத்தல்
1561,marriage,திருமணம்
1562,married,திருமணம்
1563,marry,திருமணம்
1564,mask,மாஸ்க்
1565,mass,நிறை
1566,massive,பாரிய
1567,master,குரு
1568,match,பொருத்துக
1569,material,பொருள்
1570,math,கணித
1571,matter,விஷயம்
1572,may,மே
1573,maybe,இருக்கலாம்
1574,mayor,மேயர்
1575,me,என்னை
1576,meal,உணவு
1577,mean,சராசரி
1578,meaning,பொருள்
1579,meanwhile,இதற்கிடையில்
1580,measure,நடவடிக்கை
1581,measurement,அளவீடு
1582,meat,இறைச்சி
1583,mechanism,பொறிமுறையை
1584,media,ஊடக
1585,medical,மருத்துவம்
1586,medication,மருந்து
1587,medicine,மருந்து
1588,medium,நடுத்தர
1589,meet,சந்திக்க
1590,meeting,சந்தித்தல்
1591,member,உறுப்பினர்
1592,membership,உறுப்பினர்
1593,memory,நினைவு
1594,mental,மன
1595,mention,குறிப்பும்
1596,menu,பட்டியல்
1597,mere,வெறும்
1598,merely,வெறுமனே
1599,mess,குழப்பம்
1600,message,செய்தி
1601,metal,உலோக
1602,meter,மீட்டர்
1603,method,முறை
1604,Mexican,மெக்சிகன்
1605,middle,நடுத்தர
1606,might,வலிமை
1607,military,இராணுவ
1608,milk,பால்
1609,million,மில்லியன்
1610,mine,என்னுடையது
1611,minister,அமைச்சர்
1612,minor,சிறிய
1613,minority,சிறுபான்மை
1614,minute,நிமிடம்
1615,miracle,அதிசயம்
1616,mirror,கண்ணாடி
1617,miss,செல்வி
1618,missile,ஏவுகணை
1619,mission,பணி
1620,mistake,தவறு
1621,mix,கலவை
1622,mixture,கலவை
1623,mm-hmm,மி.மீ.-ஹ்ம்ம்
1624,mode,முறையில்
1625,model,மாதிரி
1626,modern,நவீன
1627,modest,சாதாரண
1628,mom,அம்மா
1629,moment,கணம்
1630,money,பணம்
1631,monitor,மானிட்டர்
1632,month,மாதம்
1633,mood,மனநிலை
1634,moon,நிலா
1635,moral,தார்மீக
1636,more,மேலும்
1637,moreover,மேலும்
1638,morning,காலை
1639,mortgage,அடமான
1640,most,மிகவும்
1641,mostly,பெரும்பாலும்
1642,mother,அம்மா
1643,motion,இயக்கம்
1644,motivation,முயற்சி
1645,motor,மோட்டார்
1646,mount,ஏற்ற
1647,mountain,மலை
1648,mouse,சுட்டி
1649,mouth,வாய்
1650,move,நகர்வு
1651,movement,இயக்கம்
1652,movie,திரைப்பட
1653,Mr,திரு
1654,Mrs,திருமதி
1655,Ms,செல்வி
1656,much,மிகவும்
1657,multiple,பல
1658,murder,கொலை
1659,muscle,தசை
1660,museum,அருங்காட்சியகம்
1661,music,இசை
1662,musical,இசை
1663,musician,இசைக்கலைஞர்
1664,Muslim,முஸ்லீம்
1665,must,வேண்டும்
1666,mutual,பரஸ்பர
1667,my,என்
1668,mystery,மர்மம்
1669,myth,கட்டுக்கதை
1670,naked,நிர்வாண
1671,name,பெயர்
1672,narrative,கதை
1673,narrow,அதிகரிக்கவும்
1674,nation,நாட்டின்
1675,national,தேசிய
1676,native,சொந்த
1677,natural,இயற்கை
1678,naturally,இயற்கையாகவே
1679,nature,இயற்கை
1680,near,அருகே
1681,nearby,அருகிலுள்ள
1682,nearly,கிட்டத்தட்ட
1683,necessarily,அவசியம்
1684,necessary,தேவையான
1685,neck,கழுத்து
1686,need,தேவை
1687,negative,எதிர்மறை
1688,negotiate,சொல்லாடல்
1689,negotiation,பேச்சுவார்த்தை
1690,neighbor,அண்டை
1691,neighborhood,அக்கம்
1692,neither,எந்த
1693,nerve,நரம்பு
1694,nervous,பதட்டமாக
1695,net,நிகர
1696,network,வலைப்பின்னல்
1697,never,ஒருபோதும்
1698,nevertheless,இருப்பினும்
1699,new,புதிய
1700,newly,புதிதாக
1701,news,செய்தி
1702,newspaper,செய்தித்தாள்
1703,next,அடுத்தது
1704,nice,நல்ல
1705,night,இரவு
1706,nine,ஒன்பது
1707,nobody,யாரும்
1708,nod,விருதினை
1709,noise,சத்தம்
1710,nomination,பரிந்துரையை
1711,none,யாரும்
1712,nonetheless,இருப்பினும்
1713,nor,அல்லது
1714,normal,சாதாரண
1715,normally,பொதுவாக
1716,north,வடக்கு
1717,northern,வடக்கு
1718,nose,மூக்கு
1719,not,இல்லை
1720,note,குறிப்பு
1721,nothing,எதுவும்
1722,notice,அறிவிப்பு
1723,notion,கருத்து
1724,novel,நாவல்
1725,now,இப்போது
1726,nowhere,எங்கும்
1727,nuclear,அணு
1728,number,எண்
1729,numerous,பல
1730,nurse,செவிலியர்
1731,nut,நட்டு
1732,object,பொருள்
1733,objective,புறநிலை
1734,obligation,கடமை
1735,observation,கவனிப்பு
1736,observe,கண்காணிக்க
1737,observer,பார்வையாளர்
1738,obtain,பெற
1739,obvious,வெளிப்படையான
1740,obviously,வெளிப்படையாக
1741,occasion,விழாவில்
1742,occasionally,எப்போதாவது
1743,occupation,ஆக்கிரமிப்பு
1744,occupy,ஆக்கிரமிக்க
1745,occur,ஏற்படும்
1746,ocean,கடல்
1747,odd,ஒற்றைப்படை
1748,odds,முரண்பாடுகள்
1749,of,இன்
1750,off,ஆஃப்
1751,offense,குற்றம்
1752,offensive,தாக்குதல்
1753,offer,சலுகை
1754,officer,அதிகாரி
1755,official,அதிகாரி
1756,often,அடிக்கடி
1757,oh,ஓ
1758,oil,எண்ணெய்
1759,ok,சரி
1760,okay,சரி
1761,old,பழைய
1762,Olympic,ஒலிம்பிக்
1763,on,மீது
1764,once,ஒருமுறை
1765,one,ஒரு
1766,ongoing,நடந்து
1767,onion,வெங்காயம்
1768,online,நிகழ்நிலை
1769,only,மட்டுமே
1770,onto,மீது
1771,open,திறந்த
1772,opening,திறப்பு
1773,operate,இயக்குகிறது
1774,operation,அறுவை சிகிச்சை
1775,operator,ஆபரேட்டர்
1776,opinion,கருத்து
1777,opponent,எதிரியை
1778,opportunity,வாய்ப்பு
1779,oppose,எதிர்க்கும்
1780,opposite,எதிர்
1781,opposition,எதிர்ப்பு
1782,option,விருப்பத்தை
1783,or,அல்லது
1784,orange,ஆரஞ்சு
1785,order,ஆர்டர்
1786,ordinary,சாதாரண
1787,organic,கரிம
1788,organization,அமைப்பு
1789,organize,ஏற்பாடு
1790,orientation,நோக்குநிலை
1791,origin,தோற்றம்
1792,original,அசல்
1793,originally,முதலில்
1794,other,மற்ற
1795,others,மற்றவைகள்
1796,otherwise,இல்லையெனில்
1797,ought,வேண்டும்
1798,our,நமது
1799,ourselves,நம்மை
1800,out,வெளியே
1801,outside,வெளியே
1802,oven,சூளை
1803,over,மீது
1804,overall,ஒட்டுமொத்த
1805,overcome,கடந்து வா
1806,overlook,சமாளிக்க
1807,owe,கடமைப்பட்டிருக்கிறது
1808,own,சொந்த
1809,owner,உரிமையாளர்
1810,pace,வேகம்
1811,pack,எடுத்துவைக்க
1812,package,தொகுப்பு
1813,page,பக்கம்
1814,pain,வலி
1815,painful,வலி
1816,paint,வரைவதற்கு
1817,painter,ஓவியர்
1818,painting,ஓவியம்
1819,pair,ஜோடி
1820,pale,வெளிறிய
1821,Palestinian,பாலஸ்தீன
1822,palm,பனை
1823,pan,பான்
1824,panel,குழு
1825,pant,மூச்சிரைக்கின்றன
1826,paper,காகிதம்
1827,parent,பெற்றோர்
1828,park,பூங்கா
1829,parking,வாகன நிறுத்துமிடம்
1830,part,பகுதியாக
1831,participant,பங்கேற்பாளராக
1832,participate,பங்கேற்க
1833,participation,பங்கு
1834,particular,குறிப்பிட்ட
1835,particularly,குறிப்பாக
1836,partly,ஓரளவு
1837,partner,பங்குதாரர்
1838,partnership,கூட்டு
1839,party,கட்சி
1840,pass,கடந்து
1841,passage,பத்தியில்
1842,passenger,பயணிகள்
1843,passion,வேட்கை
1844,past,கடந்த
1845,patch,இணைப்பு
1846,path,பாதை
1847,patient,நோயாளி
1848,pattern,முறை
1849,pause,இடைநிறுத்தம்
1850,pay,ஊதியம்
1851,payment,கட்டணம்
1852,PC,பிசி
1853,peace,சமாதானம்
1854,peak,உச்ச
1855,peer,பியர்
1856,penalty,தண்டம்
1857,people,மக்கள்
1858,pepper,மிளகு
1859,per,ஒன்றுக்கு
1860,perceive,உணர
1861,percentage,சதவிதம்
1862,perception,கருத்து
1863,perfect,சரியான
1864,perfectly,செய்தபின்
1865,perform,செய்ய
1866,performance,செயல்திறன்
1867,period,காலம்
1868,permanent,நிரந்தர
1869,permission,அனுமதி
1870,permit,அனுமதி
1871,person,நபர்
1872,personal,தனிப்பட்ட
1873,personality,ஆளுமை
1874,personally,தனிப்பட்ட முறையில்
1875,personnel,பணியாளர்கள்
1876,perspective,முன்னோக்கு
1877,persuade,இணங்கச்
1878,pet,செல்ல
1879,phase,கட்டம்
1880,phenomenon,நிகழ்வு
1881,philosophy,தத்துவம்
1882,phone,தொலைபேசி
1883,photo,புகைப்படம்
1884,photograph,புகைப்படம்
1885,photographer,புகைப்பட
1886,phrase,சொற்றொடர்
1887,physical,உடல்
1888,physically,உடல்
1889,physician,மருத்துவர்
1890,piano,பியானோ
1891,pick,அழைத்து
1892,picture,படம்
1893,piece,துண்டு
1894,pile,குவியல்
1895,pilot,பைலட்
1896,pine,பைன்
1897,pink,இளஞ்சிவப்பு
1898,pipe,குழாய்
1899,pitch,சுருதி
1900,place,இடத்தில்
1901,plan,திட்டம்
1902,plane,விமானம்
1903,planet,கிரகம்
1904,planning,திட்டமிடல்
1905,plant,ஆலை
1906,plastic,நெகிழி
1907,plate,தட்டு
1908,platform,நடைமேடை
1909,play,நாடகம்
1910,player,ஆட்டக்காரர்
1911,please,தயவு செய்து
1912,pleasure,இன்பம்
1913,plenty,நிறைய
1914,plot,சதி
1915,plus,பிளஸ்
1916,PM,மாலை
1917,pocket,பாக்கெட்
1918,poem,கவிதை
1919,poet,கவிஞர்
1920,poetry,கவிதை
1921,point,புள்ளி
1922,pole,துருவ
1923,policy,கொள்கை
1924,political,அரசியல்
1925,politically,அரசியல்
1926,politician,அரசியல்வாதி
1927,politics,அரசியலில்
1928,poll,கருத்து கணிப்பு
1929,pollution,மாசு
1930,pool,குளம்
1931,poor,ஏழை
1932,pop,பாப்
1933,popular,பிரபலமான
1934,population,மக்கள் தொகையில்
1935,porch,தாழ்வாரம்
1936,port,துறைமுக
1937,portion,பகுதியை
1938,portrait,உருவப்படம்
1939,portray,சித்தரிக்க
1940,pose,போஸ்
1941,position,நிலையை
1942,positive,நேர்மறை
1943,possess,பெற்றிருக்கவில்லை
1944,possibility,சாத்தியம்
1945,possible,சாத்தியமான
1946,possibly,சாத்தியமான
1947,post,அஞ்சல்
1948,pot,பானை
1949,potato,உருளைக்கிழங்கு
1950,potential,சாத்தியமான
1951,potentially,சாத்தியமுள்ள
1952,pound,பவுண்டு
1953,pour,pour
1954,poverty,வறுமை
1955,powder,தூள்
1956,power,சக்தி
1957,powerful,சக்திவாய்ந்த
1958,practical,நடைமுறை
1959,practice,பயிற்சி
1960,pray,பிரார்த்தனை
1961,prayer,பிரார்த்தனை
1962,precisely,துல்லியமாக
1963,predict,கணிக்க
1964,prefer,விரும்புகின்றனர்
1965,preference,விருப்பம்
1966,pregnancy,கர்ப்ப
1967,pregnant,கர்ப்பிணி
1968,preparation,தயாரிப்பு
1969,prepare,தயார்
1970,prescription,மருந்து
1971,presence,முன்னிலையில்
1972,present,தற்போது
1973,presentation,வழங்கல்
1974,preserve,பாதுகாக்க
1975,president,தலைவர்
1976,presidential,ஜனாதிபதி
1977,press,அச்சகம்
1978,pressure,அழுத்தம்
1979,pretend,பாசாங்கு
1980,pretty,அழகான
1981,prevent,தடு
1982,previous,முந்தைய
1983,previously,முன்பு
1984,price,விலை
1985,pride,பெருமை
1986,primarily,முதன்மையாக
1987,primary,முதன்மை
1988,prime,பிரதம
1989,principal,முக்கிய
1990,principle,கொள்கை
1991,print,அச்சிட
1992,prior,முன்
1993,priority,முன்னுரிமை
1994,prison,சிறையில்
1995,prisoner,கைதி
1996,privacy,தனியுரிமை
1997,private,தனியார்
1998,probably,அநேகமாக
1999,problem,பிரச்சனை
2000,procedure,செயல்முறை
2001,proceed,தொடர
2002,produce,விளைபொருட்களை
2003,product,தயாரிப்பு
2004,production,தயாரிப்பு
2005,profession,தொழிலை
2006,professional,தொழில்முறை
2007,professor,பேராசிரியர்
2008,profile,சுயவிவர
2009,profit,இலாப
2010,program,திட்டம்
2011,progress,முன்னேற்றம்
2012,project,திட்டம்
2013,prominent,முக்கிய
2014,promise,வாக்குறுதி
2015,promote,ஊக்குவிக்க
2016,prompt,உடனடியாக
2017,proof,ஆதாரம்
2018,proper,சரியான
2019,properly,ஒழுங்காக
2020,property,சொத்து
2021,proportion,விகிதம்
2022,proposal,திட்டம்
2023,propose,முன்மொழிய
2024,proposed,முன்மொழியப்பட்ட
2025,prosecutor,வழக்கறிஞர்
2026,prospect,வாய்ப்பு
2027,protect,பாதுகாக்க
2028,protection,பாதுகாப்பு
2029,protein,புரத
2030,protest,எதிர்ப்பு
2031,proud,பெருமை
2032,prove,நிரூபிக்க
2033,provide,வழங்கும்
2034,provider,வழங்குநர்
2035,province,மாகாணத்தில்
2036,provision,ஏற்பாடு
2037,psychological,உளவியல்
2038,psychologist,உளவியலாளர்
2039,psychology,உளவியல்
2040,public,பொது
2041,publication,வெளியீடு
2042,publicly,பகிரங்கமாக
2043,publish,வெளியிட
2044,publisher,பதிப்பகத்தார்
2045,pull,மிகுதி
2046,punishment,தண்டனை
2047,purchase,கொள்முதல்
2048,pure,தூய
2049,pursue,தொடர
2050,push,மிகுதி
2051,put,வைத்து
2052,qualify,தகுதி
2053,quality,தரமான
2054,quarter,காலாண்டில்
