ENGLISH,TAMIL
helicopter,ஹெலிகாப்டர்
hell,நரகம்
hello,வணக்கம்
help,உதவி
helpful,பயனுள்ளதாக
her,அவளை
here,இங்கே
heritage,பாரம்பரியத்தை
hero,ஹீரோ
herself,தன்னை
hey,ஏய்
hi,வணக்கம்
hide,மறை
high,உயர்
highlight,முன்னிலைப்படுத்த
highly,மிகவும்
highway,நெடுஞ்சாலை
hill,மலை
him,அவரை
himself,தன்னை
hip,இடுப்பு
hire,வாடகை
his,அவரது
historian,வரலாற்றாசிரியர்
historic,வரலாற்று
historical,வரலாற்று
history,வரலாறு
hit,வெற்றி
hold,பிடி
hole,துளை
holiday,விடுமுறை
holy,பரிசுத்த
home,வீடு
homeless,வீடற்ற
honest,நேர்மையான
honey,தேன்
honor,மரியாதை
hope,நம்பிக்கை
horizon,அடிவானத்தில்
horror,திகில்
horse,குதிரை
hospital,மருத்துவமனை
host,தொகுப்பாளர்
hot,சூடான
hotel,விடுதி
hour,மணி
house,வீட்டில்
household,வீட்டு
housing,வீடுகள்
how,எப்படி
however,எனினும்
huge,பெரிய
human,மனிதன்
humor,நகைச்சுவை
hundred,நூறு
hungry,பசி
hunter,வேட்டையாடி
hunting,வேட்டையாடுதல்
hurt,காயம்
husband,கணவர்
hypothesis,கருதுகோள்
I,நான்
ice,பனி
idea,யோசனை
ideal,ஏற்றதாக
identification,அடையாள
identify,அடையாளம்
identity,அடையாளம்
ie,அதாவது
if,என்றால்
ignore,புறக்கணிக்க
ill,தவறான
illegal,சட்டவிரோத
illness,உடல் நலமின்மை
illustrate,விளக்குவதற்கு
image,படத்தை
imagination,கற்பனை
imagine,கற்பனை
immediate,உடனடியாக
immediately,உடனடியாக
immigrant,குடியேற்ற
immigration,குடியேற்றம்
impact,தாக்கம்
implement,செயல்படுத்த
implication,இது சம்பந்தமாக
imply,வெளிப்படுத்தாது
importance,முக்கியத்துவம்
important,முக்கியமான
impose,திணிக்க
impossible,சாத்தியமற்றது
impress,ஊழியரும்
impression,உணர்வை
impressive,ஈர்க்கக்கூடிய
improve,மேம்படுத்த
improvement,முன்னேற்றம்
in,இல்
incentive,ஊக்க
incident,சம்பவம்
include,சேர்க்கிறது
including,உட்பட
income,வருமானம்
incorporate,பதிவுசெய்தல்
increase,அதிகரி
increased,அதிகரித்த
increasing,அதிகரித்து
increasingly,பெருகிய
incredible,நம்பமுடியாத
indeed,உண்மையில்
independence,சுதந்திரம்
independent,சுயாதீன
index,குறியீட்டு
Indian,இந்தியன்
indicate,குறிப்பிடுகின்றன
indication,அறிகுறி
individual,தனிப்பட்ட
industrial,தொழில்துறை
industry,தொழில்
infant,குழந்தை
infection,தொற்று
inflation,வீக்கம்
influence,செல்வாக்கு
inform,தெரிவிக்க
information,தகவல்
ingredient,மூலப்பொருள்
initial,ஆரம்ப
initially,ஆரம்பத்தில்
initiative,முயற்சி
injury,காயம்
inner,உள்
innocent,அப்பாவி
inquiry,விசாரணை
inside,உள்ளே
insight,நுண்ணறிவால்
insist,வலியுறுத்துகின்றனர்
inspire,இன்ஸ்பயர்
install,நிறுவு
instance,உதாரணமாக
instead,பதிலாக
institution,நிறுவனம்
institutional,நிறுவன
instruction,அறிவுறுத்தல்
instructor,பயிற்றுவிப்பாளராக
instrument,கருவி
insurance,காப்பீடு
intellectual,அறிவுசார்
intelligence,உளவுத்துறை
intend,திட்டமிட்டுள்ளீர்கள்
intense,தீவிர
intensity,தீவிரம்
intention,எண்ணம்
interaction,தொடர்பு
interest,ஆர்வம்
interested,ஆர்வம்
interesting,சுவாரஸ்யமான
internal,உள்
international,சர்வதேச
Internet,இணையதளம்
interpret,விளக்குவது
interpretation,விளக்கம்
intervention,தலையீடு
interview,பேட்டியில்
into,ஒரு
introduce,அறிமுகப்படுத்த
introduction,அறிமுகம்
invasion,படையெடுப்பு
invest,Invest
investigate,விசாரணை
investigation,விசாரணை
investigator,புலன்விசாரணை
investment,முதலீட்டு
investor,முதலீட்டாளர்
invite,அழைக்க
involve,ஈடுபடு
involved,ஈடுபாடு
involvement,ஈடுபாடு
Iraqi,ஈராக்
Irish,ஐரிஷ்
iron,இரும்பு
Islamic,இஸ்லாமிய
island,தீவின்
Israeli,இஸ்ரேலிய
issue,பிரச்சினை
it,அது
Italian,இத்தாலிய
item,உருப்படியை
its,அதன்
itself,தன்னை
jacket,ஜாக்கெட்
jail,சிறை
Japanese,ஜப்பனீஸ்
jet,ஜெட்
Jew,யூதர்
Jewish,யூத
job,வேலை
join,சேர
joint,கூட்டு
joke,ஜோக்
journal,பத்திரிகை
journalist,பத்திரிகையாளர்
journey,பயணம்
joy,மகிழ்ச்சி
judge,நீதிபதி
judgment,தீர்ப்பு
juice,சாறு
jump,ஜம்ப்
junior,இளைய
jury,ஜூரி
just,வெறும்
justice,நீதி
justify,நியாயப்படுத்துவதற்கு
keep,வை
key,முக்கிய
kick,கிக்
kid,குழந்தை
kill,கொலை
killer,கொலையாளி
killing,கொலை
kind,கருணை
king,ராஜா
kiss,முத்தம்
kitchen,சமையலறை
knee,முழங்கால்
knife,கத்தி
knock,தட்டுங்கள்
know,தெரியும்
knowledge,அறிவு
lab,ஆய்வகம்
label,லேபிள்
labor,தொழிலாளர்
laboratory,ஆய்வகம்
lack,பற்றாக்குறை
lady,பெண்
lake,ஏரி
land,நில
landscape,இயற்கை
language,மொழி
lap,மடியில்
large,பெரிய
largely,பெரும்பாலும்
last,கடந்த
late,தாமதமாக
later,பின்னர்
Latin,லத்தீன்
latter,பிந்தைய
laugh,சிரிக்க
launch,வெளியீட்டு
law,சட்டம்
lawn,புல்வெளி
lawsuit,வழக்கு
lawyer,வழக்கறிஞர்
lay,எளிமையான
layer,அடுக்கு
lead,வழி நடத்து
leader,தலைவர்
leadership,தலைமைத்துவம்
leading,முன்னணி
leaf,இலை
league,லீக்
lean,ஒல்லியான
learn,அறிய
learning,கற்றல்
least,குறைந்தது
leather,தோல்
leave,விடுப்பு
left,இடது
leg,கால்
legacy,மரபு
legal,சட்ட
legend,புராண
legislation,சட்டத்தை
legitimate,முறையான
lemon,எலுமிச்சை
length,நீளம்
less,குறைவான
lesson,பாடம்
let,நாம்
letter,கடிதம்
level,நிலை
liberal,தாராளவாத
library,நூலகம்
license,உரிமம்
lie,பொய்
life,வாழ்க்கை
lifestyle,வாழ்க்கை
lifetime,வாழ்நாள்
lift,லிப்ட்
light,ஒளி
like,போன்ற
likely,வாய்ப்பு
limit,அளவு
limitation,வரையறை
limited,வரையறுக்கப்பட்ட
line,வரி
link,இணைப்பை
lip,லிப்
list,பட்டியலில்
listen,கேட்க
literally,உண்மையாகவே
literary,இலக்கிய
literature,இலக்கியம்
little,சிறிய
live,நேரடி
living,வாழ்க்கை
load,சுமை
loan,கடன்
local,உள்ளூர்
locate,கண்டறிவது
location,இடம்
lock,பூட்டு
long,நீண்ட
long-term,நீண்ட கால
look,தோற்றம்
loose,இழக்க
lose,இழக்க
loss,இழப்பு
lost,இழந்தது
lot,நிறைய
lots,நிறைய
loud,உரத்த
love,காதல்
lovely,அழகான
lover,காதலன்
low,குறைந்த
lower,குறைந்த
luck,அதிர்ஷ்டம்
lucky,அதிர்ஷ்டம்
lunch,மதிய
lung,நுரையீரல்
machine,இயந்திரம்
mad,பைத்தியம்
magazine,பத்திரிகை
mail,அஞ்சல்
main,முக்கிய
mainly,முக்கியமாக
maintain,பராமரிக்க
maintenance,பராமரிப்பு
major,முக்கிய
majority,பெரும்பான்மை
make,செய்ய
maker,தயாரிப்பாளர்
makeup,ஒப்பனை
male,ஆண்
mall,மால்
man,மனிதன்
manage,நிர்வகிக்க
management,மேலாண்மை
manager,மேலாளர்
manner,முறையில்
manufacturer,உற்பத்தியாளர்
manufacturing,உற்பத்தி
many,பல
map,கண்டறிவதில்
margin,விளிம்பு
mark,குறி
market,சந்தை
marketing,சந்தைப்படுத்தல்
marriage,திருமணம்
married,திருமணம்
marry,திருமணம்
mask,மாஸ்க்
mass,நிறை
massive,பாரிய
master,குரு
match,பொருத்துக
material,பொருள்
math,கணித
matter,விஷயம்
may,மே
maybe,இருக்கலாம்
mayor,மேயர்
me,என்னை
meal,உணவு
mean,சராசரி
meaning,பொருள்
meanwhile,இதற்கிடையில்
measure,நடவடிக்கை
measurement,அளவீடு
meat,இறைச்சி
mechanism,பொறிமுறையை
media,ஊடக
medical,மருத்துவம்
medication,மருந்து
medicine,மருந்து
medium,நடுத்தர
meet,சந்திக்க
meeting,சந்தித்தல்
member,உறுப்பினர்
membership,உறுப்பினர்
memory,நினைவு
mental,மன
mention,குறிப்பும்
menu,பட்டியல்
mere,வெறும்
merely,வெறுமனே
mess,குழப்பம்
message,செய்தி
metal,உலோக
meter,மீட்டர்
method,முறை
Mexican,மெக்சிகன்
middle,நடுத்தர
might,வலிமை
military,இராணுவ
milk,பால்
million,மில்லியன்
mind,மனதில்
mine,என்னுடையது
minister,அமைச்சர்
minor,சிறிய
minority,சிறுபான்மை
minute,நிமிடம்
miracle,அதிசயம்
mirror,கண்ணாடி
miss,செல்வி
missile,ஏவுகணை
mission,பணி
mistake,தவறு
mix,கலவை
mixture,கலவை
mm-hmm,மி.மீ.-ஹ்ம்ம்
mode,முறையில்
model,மாதிரி
moderate,மிதமான
modern,நவீன
modest,சாதாரண
mom,அம்மா
moment,கணம்
money,பணம்
monitor,மானிட்டர்
month,மாதம்
mood,மனநிலை
moon,நிலா
moral,தார்மீக
more,மேலும்
moreover,மேலும்
morning,காலை
mortgage,அடமான
most,மிகவும்
mostly,பெரும்பாலும்
mother,அம்மா
motion,இயக்கம்
motivation,முயற்சி
motor,மோட்டார்
mount,ஏற்ற
mountain,மலை
mouse,சுட்டி
mouth,வாய்
move,நகர்வு
movement,இயக்கம்
movie,திரைப்பட
Mr,திரு
Mrs,திருமதி
Ms,செல்வி
much,மிகவும்
multiple,பல
murder,கொலை
muscle,தசை
museum,அருங்காட்சியகம்
music,இசை
musical,இசை
musician,இசைக்கலைஞர்
Muslim,முஸ்லீம்
must,வேண்டும்
mutual,பரஸ்பர
my,என்
myself,நானே
mystery,மர்மம்
myth,கட்டுக்கதை
naked,நிர்வாண
name,பெயர்
narrative,கதை
narrow,அதிகரிக்கவும்
nation,நாட்டின்
national,தேசிய
native,சொந்த
natural,இயற்கை
naturally,இயற்கையாகவே
nature,இயற்கை
near,அருகே
nearby,அருகிலுள்ள
nearly,கிட்டத்தட்ட
necessarily,அவசியம்
necessary,தேவையான
neck,கழுத்து
need,தேவை
negative,எதிர்மறை
negotiate,சொல்லாடல்
negotiation,பேச்சுவார்த்தை
neighbor,அண்டை
neighborhood,அக்கம்
neither,எந்த
nerve,நரம்பு
nervous,பதட்டமாக
net,நிகர
network,வலைப்பின்னல்
never,ஒருபோதும்
nevertheless,இருப்பினும்
new,புதிய
newly,புதிதாக
news,செய்தி
newspaper,செய்தித்தாள்
next,அடுத்தது
nice,நல்ல
night,இரவு
nine,ஒன்பது
no,இல்லை
nobody,யாரும்
nod,விருதினை
noise,சத்தம்
nomination,பரிந்துரையை
none,யாரும்
nonetheless,இருப்பினும்
nor,அல்லது
normal,சாதாரண
normally,பொதுவாக
north,வடக்கு
northern,வடக்கு
nose,மூக்கு
not,இல்லை
note,குறிப்பு
nothing,எதுவும்
notice,அறிவிப்பு
notion,கருத்து
novel,நாவல்
now,இப்போது
nowhere,எங்கும்
n't,இல்லை
nuclear,அணு
number,எண்
numerous,பல
nurse,செவிலியர்
nut,நட்டு
object,பொருள்
objective,புறநிலை
obligation,கடமை
observation,கவனிப்பு
observe,கண்காணிக்க
observer,பார்வையாளர்
obtain,பெற
obvious,வெளிப்படையான
obviously,வெளிப்படையாக
occasion,விழாவில்
occasionally,எப்போதாவது
occupation,ஆக்கிரமிப்பு
occupy,ஆக்கிரமிக்க
occur,ஏற்படும்
ocean,கடல்
odd,ஒற்றைப்படை
odds,முரண்பாடுகள்
of,இன்
off,ஆஃப்
offense,குற்றம்
offensive,தாக்குதல்
offer,சலுகை
office,அலுவலகம்
officer,அதிகாரி
official,அதிகாரி
often,அடிக்கடி
oh,ஓ
oil,எண்ணெய்
ok,சரி
okay,சரி
old,பழைய
Olympic,ஒலிம்பிக்
on,மீது
once,ஒருமுறை
one,ஒரு
ongoing,நடந்து
onion,வெங்காயம்
online,நிகழ்நிலை
only,மட்டுமே
onto,மீது
open,திறந்த
opening,திறப்பு
operate,இயக்குகிறது
operating,இயக்க
operation,அறுவை சிகிச்சை
operator,ஆபரேட்டர்
opinion,கருத்து
opponent,எதிரியை
opportunity,வாய்ப்பு
oppose,எதிர்க்கும்
opposite,எதிர்
opposition,எதிர்ப்பு
option,விருப்பத்தை
or,அல்லது
orange,ஆரஞ்சு
order,ஆர்டர்
ordinary,சாதாரண
organic,கரிம
organization,அமைப்பு
organize,ஏற்பாடு
orientation,நோக்குநிலை
origin,தோற்றம்
original,அசல்
originally,முதலில்
other,மற்ற
others,மற்றவைகள்
otherwise,இல்லையெனில்
ought,வேண்டும்
our,நமது
ourselves,நம்மை
out,வெளியே
outcome,விளைவு
outside,வெளியே
oven,சூளை
over,மீது
overall,ஒட்டுமொத்த
overcome,கடந்து வா
overlook,சமாளிக்க
owe,கடமைப்பட்டிருக்கிறது
own,சொந்த
owner,உரிமையாளர்
pace,வேகம்
pack,எடுத்துவைக்க
package,தொகுப்பு
page,பக்கம்
pain,வலி
painful,வலி
paint,வரைவதற்கு
painter,ஓவியர்
painting,ஓவியம்
pair,ஜோடி
pale,வெளிறிய
Palestinian,பாலஸ்தீன
palm,பனை
pan,பான்
panel,குழு
pant,மூச்சிரைக்கின்றன
paper,காகிதம்
parent,பெற்றோர்
park,பூங்கா
parking,வாகன நிறுத்துமிடம்
part,பகுதியாக
participant,பங்கேற்பாளராக
participate,பங்கேற்க
participation,பங்கு
particular,குறிப்பிட்ட
particularly,குறிப்பாக
partly,ஓரளவு
partner,பங்குதாரர்
partnership,கூட்டு
party,கட்சி
pass,கடந்து
passage,பத்தியில்
passenger,பயணிகள்
passion,வேட்கை
past,கடந்த
patch,இணைப்பு
path,பாதை
patient,நோயாளி
pattern,முறை
pause,இடைநிறுத்தம்
pay,ஊதியம்
payment,கட்டணம்
PC,பிசி
peace,சமாதானம்
peak,உச்ச
peer,பியர்
penalty,தண்டம்
people,மக்கள்
pepper,மிளகு
per,ஒன்றுக்கு
perceive,உணர
percentage,சதவிதம்
perception,கருத்து
perfect,சரியான
perfectly,செய்தபின்
perform,செய்ய
performance,செயல்திறன்
perhaps,ஒருவேளை
period,காலம்
permanent,நிரந்தர
permission,அனுமதி
permit,அனுமதி
person,நபர்
personal,தனிப்பட்ட
personality,ஆளுமை
personally,தனிப்பட்ட முறையில்
personnel,பணியாளர்கள்
perspective,முன்னோக்கு
persuade,இணங்கச்
pet,செல்ல
phase,கட்டம்
phenomenon,நிகழ்வு
philosophy,தத்துவம்
phone,தொலைபேசி
photo,புகைப்படம்
photograph,புகைப்படம்
photographer,புகைப்பட
phrase,சொற்றொடர்
physical,உடல்
physically,உடல்
physician,மருத்துவர்
piano,பியானோ
pick,அழைத்து
picture,படம்
pie,பை
piece,துண்டு
pile,குவியல்
pilot,பைலட்
pine,பைன்
pink,இளஞ்சிவப்பு
pipe,குழாய்
pitch,சுருதி
place,இடத்தில்
plan,திட்டம்
plane,விமானம்
planet,கிரகம்
planning,திட்டமிடல்
plant,ஆலை
plastic,நெகிழி
plate,தட்டு
platform,நடைமேடை
play,நாடகம்
player,ஆட்டக்காரர்
please,தயவு செய்து
pleasure,இன்பம்
plenty,நிறைய
plot,சதி
plus,பிளஸ்
PM,மாலை
pocket,பாக்கெட்
poem,கவிதை
poet,கவிஞர்
poetry,கவிதை
point,புள்ளி
pole,துருவ
police,காவல்
policy,கொள்கை
political,அரசியல்
politically,அரசியல்
politician,அரசியல்வாதி
politics,அரசியலில்
poll,கருத்து கணிப்பு
pollution,மாசு
pool,குளம்
poor,ஏழை
pop,பாப்
popular,பிரபலமான
population,மக்கள் தொகையில்
porch,தாழ்வாரம்
port,துறைமுக
portion,பகுதியை
portrait,உருவப்படம்
portray,சித்தரிக்க
pose,போஸ்
position,நிலையை
positive,நேர்மறை
possess,பெற்றிருக்கவில்லை
possibility,சாத்தியம்
possible,சாத்தியமான
possibly,சாத்தியமான
post,அஞ்சல்
pot,பானை
potato,உருளைக்கிழங்கு
potential,சாத்தியமான
potentially,சாத்தியமுள்ள
pound,பவுண்டு
pour,pour
poverty,வறுமை
powder,தூள்
power,சக்தி
powerful,சக்திவாய்ந்த
practical,நடைமுறை
practice,பயிற்சி
pray,பிரார்த்தனை
prayer,பிரார்த்தனை
precisely,துல்லியமாக
predict,கணிக்க
prefer,விரும்புகின்றனர்
preference,விருப்பம்
pregnancy,கர்ப்ப
pregnant,கர்ப்பிணி
preparation,தயாரிப்பு
prepare,தயார்
prescription,மருந்து
presence,முன்னிலையில்
present,தற்போது
presentation,வழங்கல்
preserve,பாதுகாக்க
president,தலைவர்
presidential,ஜனாதிபதி
press,அச்சகம்
pressure,அழுத்தம்
pretend,பாசாங்கு
pretty,அழகான
prevent,தடு
previous,முந்தைய
previously,முன்பு
price,விலை
pride,பெருமை
priest,பூசாரி
primarily,முதன்மையாக
primary,முதன்மை
prime,பிரதம
principal,முக்கிய
principle,கொள்கை
print,அச்சிட
prior,முன்
priority,முன்னுரிமை
prison,சிறையில்
prisoner,கைதி
privacy,தனியுரிமை
private,தனியார்
probably,அநேகமாக
problem,பிரச்சனை
procedure,செயல்முறை
proceed,தொடர
process,செயல்முறை
produce,விளைபொருட்களை
producer,தயாரிப்பாளர்
product,தயாரிப்பு
production,தயாரிப்பு
profession,தொழிலை
professional,தொழில்முறை
professor,பேராசிரியர்
profile,சுயவிவர
profit,இலாப
program,திட்டம்
progress,முன்னேற்றம்
project,திட்டம்
prominent,முக்கிய
promise,வாக்குறுதி
promote,ஊக்குவிக்க
prompt,உடனடியாக
proof,ஆதாரம்
proper,சரியான
properly,ஒழுங்காக
property,சொத்து
proportion,விகிதம்
proposal,திட்டம்
propose,முன்மொழிய
proposed,முன்மொழியப்பட்ட
prosecutor,வழக்கறிஞர்
prospect,வாய்ப்பு
protect,பாதுகாக்க
protection,பாதுகாப்பு
protein,புரத
protest,எதிர்ப்பு
proud,பெருமை
prove,நிரூபிக்க
provide,வழங்கும்
provider,வழங்குநர்
province,மாகாணத்தில்
provision,ஏற்பாடு
psychological,உளவியல்
psychologist,உளவியலாளர்
psychology,உளவியல்
public,பொது
publication,வெளியீடு
publicly,பகிரங்கமாக
publish,வெளியிட
publisher,பதிப்பகத்தார்
pull,மிகுதி
punishment,தண்டனை
purchase,கொள்முதல்
pure,தூய
purpose,நோக்கம்
pursue,தொடர
push,மிகுதி
put,வைத்து
qualify,தகுதி
quality,தரமான
quarter,காலாண்டில்
quarterback,குவாட்டர்பேக்
question,கேள்வி
quick,விரைவான
quickly,விரைவில்
quiet,அமைதியான
quietly,அமைதியாக
quit,விட்டுவிட
quite,மிகவும்
quote,மேற்கோள்
race,இனம்
racial,இன
radical,தீவிரவாத
radio,வானொலி
rail,ரயில்
rain,மழை
raise,உயர்வு
range,சரகம்
rank,ரேங்க்
rapid,விரைவான
rapidly,விரைவில்
rare,அரிய
rarely,அரிதாக
rate,விகிதம்
rather,மாறாக
rating,மதிப்பீடு
ratio,விகிதம்
raw,மூல
reach,அடைய
react,வினை
reaction,எதிர்வினை
read,படி
reader,வாசகர்
reading,வாசிப்பு
ready,தயாராக
real,உண்மையான
reality,உண்மையில்
realize,நினைத்துக்கூட பார்க்காத
really,உண்மையில்
reason,காரணம்
reasonable,நியாயமான
recall,நினைவுகூர்வது
receive,பெறும்
recent,அண்மையில்
recently,சமீபத்தில்
recipe,செய்முறையை
recognition,அங்கீகாரம்
recognize,அடையாளம் கண்டு கொள்
recommend,பரிந்துரை
recommendation,பரிந்துரை
record,சாதனை
recording,பதிவு
recover,மீட்க
recovery,மீட்பு
recruit,பணியமர்த்த
red,சிவப்பு
reduce,குறைக்க
reduction,குறைப்பு
refer,பார்க்கவும்
reference,குறிப்பு
reflect,பிரதிபலிக்கும்
reflection,பிரதிபலிப்பு
reform,சீர்திருத்தம்
refugee,அகதி
refuse,மறு
regard,தொடர்பாக
regarding,தொடர்பாக
regardless,பொருட்படுத்தாமல்
regime,ஆட்சி
region,பிராந்தியம்
regional,பிராந்திய
register,பதிவு
regular,வழக்கமான
regularly,வழக்கமாக
regulate,கட்டுப்படுத்தும்
regulation,கட்டுப்பாட்டு
reinforce,வலுப்படுத்தும்
reject,நிராகரிக்க
relate,தொடர்புபடுத்த
relation,உறவு
relationship,உறவு
relative,உறவினர்
relatively,ஒப்பீட்டளவில்
relax,ஓய்வெடுக்க
release,வெளியீடு
relevant,தொடர்புடைய
relief,துயர் நீக்கம்
religion,மதம்
religious,மத
rely,நம்ப
remain,இருக்கும்
remaining,மீதமுள்ள
remarkable,குறிப்பிடத்தக்க
remember,நினைவில்
remind,ஞாபகப்படுத்த
remote,தொலை
remove,அகற்றுவதில்
repeat,மீண்டும்
repeatedly,மீண்டும் மீண்டும்
replace,பதிலாக
reply,பதில்
report,அறிக்கை
reporter,நிருபர்
represent,பிரதிநிதித்துவம்
representation,பிரதிநிதித்துவம்
representative,பிரதிநிதி
Republican,குடியரசுக்
reputation,புகழ்
request,கோரிக்கை
require,தேவைப்படும்
requirement,தேவை
research,ஆராய்ச்சி
researcher,ஆராய்ச்சியாளர்
resemble,ஒத்திருக்கின்றன
reservation,ஒதுக்கீடு
resident,குடியுரிமை
resist,எதிர்க்க
resistance,எதிர்ப்பு
resolution,தீர்மானம்
resolve,தீர்மானத்தை
resort,உல்லாசப்போக்கிடம்
resource,வள
respect,மதிக்க
respond,பதிலை
respondent,பதிலளிப்பாளரின்
response,பதில்
responsibility,பொறுப்பு
responsible,பொறுப்பு
rest,ஓய்வெடுக்க
restaurant,உணவகம்
restore,மீட்க
restriction,கட்டுப்பாடு
result,விளைவாக
retain,தக்கவைத்து
retire,ஓய்வு
retirement,ஓய்வு
return,திரும்ப
reveal,வெளிப்படுத்த
revenue,வருவாய்
review,விமர்சனம்
revolution,புரட்சி
rhythm,ரிதம்
rice,அரிசி
rich,பணக்கார
rid,தவிர்ந்திடு
ride,சவாரி
rifle,துப்பாக்கி
right,வலது
ring,மோதிரம்
rise,உயரும்
risk,ஆபத்து
river,நதி
road,சாலை
rock,பாறை
role,பங்கு
roll,ரோல்
romantic,காதல்
roof,கூரை
room,அறை
root,ரூட்
rope,கயிறு
rose,உயர்ந்தது
rough,கடினமான
roughly,சுமார்
round,சுற்று
route,பாதை
routine,வழக்கமான
row,வரிசையில்
rub,துடைப்பான்
rule,ஆட்சி
run,ஓடு
running,ஓடுதல்
rural,கிராமப்புற
rush,அவசரத்தில்
Russian,ரஷியன்
sacred,புனித
sad,வருத்தமாக
safe,பாதுகாப்பான
safety,பாதுகாப்பு
sake,நிமித்தம்
salad,கலவை
salary,சம்பளம்
sale,விற்பனை
sales,விற்பனை
salt,உப்பு
same,அதே
sample,மாதிரி
sanction,அனுமதி
sand,மணல்
satellite,செயற்கைக்கோள்
satisfaction,திருப்தி
satisfy,திருப்தி
sauce,சாஸ்
save,சேமிக்க
saving,சேமிப்பு
say,சொல்
scale,அளவில்
scandal,ஊழல்
scared,பயந்திருந்தாலோ
scenario,சூழ்நிலையில்
scene,காட்சி
schedule,அட்டவணை
scheme,திட்டம்
scholar,அறிஞர்
scholarship,உதவித்தொகை
school,பள்ளி
science,விஞ்ஞானம்
scientific,அறிவியல்
scientist,விஞ்ஞானி
scope,வாய்ப்பு
score,மதிப்பெண்
scream,அலறல்
screen,திரை
script,கையால் எழுதப்பட்ட தாள்
sea,கடல்
search,தேட
season,பருவம்
seat,இருக்கை
second,இரண்டாவது
secret,இரகசிய
secretary,செயலாளர்
section,பிரிவில்
sector,துறை
secure,பாதுகாக்க
security,பாதுகாப்பு
see,பார்க்க
seed,விதை
seek,தேடுங்கள்
seem,தெரியவில்லை
segment,பிரிவில்
seize,பறிமுதல்
select,தேர்வு
selection,தேர்வு
self,சுய
sell,விற்க
Senate,செனட்
senator,செனட்டர்
send,அனுப்புக
senior,மூத்த
sense,உணர்வு
sensitive,முக்கிய
sentence,தண்டனை
separate,தனி
sequence,வரிசை
series,தொடர்
serious,தீவிர
seriously,தீவிரமாக
serve,பணியாற்ற
service,சேவை
session,அமர்வு
set,தொகுப்பு
setting,அமைப்பை
settle,செட்டில்
settlement,தீர்வு
seven,ஏழு
several,பல
severe,கடுமையான
sex,செக்ஸ்
sexual,பாலியல்
shade,நிழல்
shadow,நிழல்
shake,குலுக்கல்
shall,பேசலாம்
shape,வடிவம்
share,பகிர்
sharp,கூர்மையான
she,அவள்
sheet,தாள்
shelf,அலமாரியில்
shell,ஷெல்
shelter,தங்குமிடம்
shift,மாற்றம்
shine,பிரகாசம்
ship,கப்பல்
shirt,சட்டை
shit,மலம்
shock,அதிர்ச்சி
shoe,ஷூ
shoot,படப்பிடிப்பு
shooting,படப்பிடிப்பு
shop,கடை
shopping,கடையில் பொருட்கள் வாங்குதல்
shore,கரையில்
short,குறுகிய
shortly,விரைவில்
shot,ஷாட்
should,வேண்டுமா
shoulder,தோள்பட்டை
shout,சத்தம்
show,நிகழ்ச்சி
shower,மழை
shrug,மொத்தத்தில் அலட்சியமாக
shut,நிறுத்தல்களுக்குப்
sick,உடம்பு
side,பக்க
sigh,பெருமூச்சு
sight,பார்வை
sign,அடையாளம்
signal,சிக்னல்
significance,முக்கியத்துவம்
significant,குறிப்பிடத்தக்க
significantly,கணிசமாக
silence,அமைதி
silent,அமைதியாக
silver,வெள்ளி
similar,ஒத்த
similarly,இதேபோல்
simple,எளிய
simply,வெறுமனே
sin,பாவம்
since,முதல்
sing,பாட
singer,பாடகர்
single,ஒற்றை
sink,தொட்டியின்
sir,ஐயா
sister,சகோதரி
sit,உட்கார
site,தளத்தில்
situation,நிலைமை
six,ஆறு
size,அளவு
ski,ஸ்கை
skill,திறமை
skin,தோல்
sky,வானம்
slave,அடிமை
sleep,தூங்கு
slice,துண்டு
slide,ஸ்லைடு
slight,லேசான
slightly,சற்று
slip,சீட்டு
slow,மெதுவாக
slowly,மெதுவாக
small,சிறிய
smart,புத்திசாலி
smell,வாசனை
smile,சிரிக்க
smoke,புகை
smooth,மென்மையான
snap,நொடியில்
snow,பனி
so,அதனால்
so-called,என்று அழைக்கப்படும்
soccer,கால்பந்து
social,சமூக
society,சமூகம்
soft,மென்மையான
software,மென்பொருள்
soil,மண்
solar,சூரிய
soldier,சிப்பாய்
solid,திட
solution,தீர்வு
solve,தீர்க்க
some,சில
somebody,யாரோ
somehow,எப்படியோ
someone,யாரோ
something,ஏதாவது
sometimes,சில நேரங்களில்
somewhat,சற்றே
somewhere,எங்காவது
son,மகன்
song,பாடல்
soon,விரைவில்
sophisticated,அதிநவீன
sorry,மன்னிக்கவும்
sort,வகைபடுத்து
soul,ஆன்மா
sound,ஒலி
soup,சூப்
source,மூல
south,தெற்கு
southern,தெற்கு
Soviet,சோவியத்
space,விண்வெளி
Spanish,ஸ்பானிஷ்
speak,பேசு
speaker,பேச்சாளர்
special,சிறப்பு
specialist,சிறப்பு
species,இனங்கள்
specific,குறிப்பிட்ட
specifically,குறிப்பாக
speech,பேச்சு
speed,வேகம்
spend,செலவிட
spending,செலவு
spin,ஸ்பின்
spirit,ஆவி
spiritual,ஆன்மீக
split,பிளவு
spokesman,பேச்சாளர்
sport,விளையாட்டு
spot,ஸ்பாட்
spread,பரவுதல்
spring,வசந்த
square,சதுர
squeeze,நெருக்கு
stability,ஸ்திரத்தன்மை
stable,நிலையான
staff,ஊழியர்கள்
stage,மேடை
stair,படிக்கட்டு
stake,பங்குகளை
